Name  RA   Dec  t0[HJD]  tE[days]    u0    Ibase    Ibase_err
KMT-2016-BLG-0227 17:57:03.29 -27:55:38.06 247541.56815 7.93 0.264 19.47 None
KMT-2016-BLG-0228 18:05:05.33 -27:49:20.89 247538.10259 9.61 0.409 20.00 None
KMT-2016-BLG-0229 18:04:46.25 -27:17:37.00 247520.41223 10.49 0.214 19.85 None
KMT-2016-BLG-0230 18:04:18.40 -27:00:04.61 247518.95021 54.13 0.333 18.58 None
KMT-2016-BLG-0231 18:02:35.34 -27:29:08.41 247500.36462 3.86 0.668 19.41 None
KMT-2016-BLG-0232 18:02:13.92 -27:27:24.98 247550.03156 3.70 0.934 20.00 None
KMT-2016-BLG-0233 18:04:22.81 -28:33:32.00 247515.96266 65.43 0.026 16.83 None
KMT-2016-BLG-0234 18:03:26.49 -28:42:04.28 247547.98743 5.00 0.884 18.98 None
KMT-2016-BLG-0235 18:03:27.86 -28:31:45.08 247598.17739 7.75 0.745 20.00 None
KMT-2016-BLG-0236 18:00:02.33 -28:22:18.59 247525.38740 67.46 0.276 19.73 None
KMT-2016-BLG-0237 17:59:14.56 -28:55:51.82 247530.21775 5.01 0.803 18.01 None
KMT-2016-BLG-0238 17:59:11.82 -28:37:14.30 247547.80066 7.57 0.451 20.00 None
KMT-2016-BLG-0239 17:59:08.16 -28:28:36.01 247546.18160 71.56 0.033 19.55 None
KMT-2016-BLG-0240 17:58:31.26 -28:11:37.28 247585.54646 177.12 0.037 19.65 None
KMT-2016-BLG-0241 17:57:50.53 -28:43:46.99 247677.92000 199.72 0.068 16.79 None
KMT-2016-BLG-0242 17:57:59.98 -28:27:54.90 247571.46381 3.94 0.775 19.68 None
KMT-2016-BLG-0243 17:57:45.49 -28:17:07.51 247529.92179 27.26 0.957 15.89 None
KMT-2016-BLG-0244 17:57:27.93 -28:11:19.39 247580.16747 10.49 0.587 18.45 None
KMT-2016-BLG-0245 17:41:02.84 -26:32:07.01 247494.90268 29.27 0.265 20.00 None
KMT-2016-BLG-0246 17:37:29.60 -25:43:21.83 247511.89960 38.94 0.738 18.38 None
KMT-2016-BLG-0247 17:38:06.75 -27:02:58.99 247520.46828 37.00 0.180 20.00 None
KMT-2016-BLG-0248 17:41:47.23 -26:21:32.65 247484.17511 24.90 0.467 17.06 None
KMT-2016-BLG-0249 17:41:49.77 -25:56:26.81 247510.47059 11.64 0.133 17.69 None
KMT-2016-BLG-0250 17:47:53.67 -24:14:20.58 247459.48332 52.65 0.519 17.88 None
KMT-2016-BLG-0251 17:44:58.21 -21:58:54.34 247498.91054 48.60 0.599 19.14 None
KMT-2016-BLG-0252 17:48:02.16 -23:26:35.20 247479.27667 31.63 0.757 18.48 None
KMT-2016-BLG-0253 18:14:24.49 -24:57:08.78 247438.83168 42.84 0.277 18.78 None
KMT-2016-BLG-0254 18:14:17.47 -26:07:34.28 247500.94533 132.31 0.357 19.09 None
KMT-2016-BLG-0255 18:11:21.81 -26:50:24.11 247534.97371 28.54 0.514 15.68 None
KMT-2016-BLG-0256 18:07:14.09 -27:50:31.09 247470.62992 47.00 0.782 18.24 None
KMT-2016-BLG-0257 18:12:31.62 -27:16:36.52 247511.65187 36.93 0.066 19.06 None
KMT-2016-BLG-0258 18:12:06.62 -27:35:06.90 247507.73278 18.29 0.086 18.41 None
KMT-2016-BLG-0259 18:08:12.15 -24:56:47.58 247459.03913 69.16 0.083 15.78 None
KMT-2016-BLG-0260 18:06:52.43 -26:44:01.50 247479.63465 70.80 0.720 15.90 None
KMT-2016-BLG-0261 18:03:47.69 -26:36:05.76 247447.43051 73.73 0.345 19.80 None
KMT-2016-BLG-0262 18:15:17.72 -24:14:01.28 247505.89898 60.48 0.251 16.07 None
KMT-2016-BLG-0263 18:12:02.59 -24:26:11.44 247512.55602 25.51 1.000 15.54 None
KMT-2016-BLG-0264 17:41:46.51 -25:35:05.64 247465.63784 68.36 0.753 19.57 None
KMT-2016-BLG-0265 17:53:04.38 -23:11:12.26 247487.38865 61.16 0.809 19.37 None
KMT-2016-BLG-0266 17:53:47.25 -30:59:19.61 247508.39899 8.74 1.000 16.32 None
KMT-2016-BLG-0267 17:53:45.29 -31:02:47.40 247505.05361 10.72 0.529 20.00 None
KMT-2016-BLG-0268 17:53:46.61 -30:53:17.02 247642.40316 16.65 0.300 16.10 None
KMT-2016-BLG-0269 17:54:01.22 -30:46:38.10 247624.39532 70.49 0.008 16.90 None
KMT-2016-BLG-0270 17:53:54.99 -30:41:49.42 247491.90054 24.96 0.696 20.00 None
