Name  RA   Dec  t0[HJD]  tE[days]    u0    Ibase    Ibase_err
OGLE-2002-BLG-050 17:56:35.05 -28:38:18.1 2452379.610 18.15 0.559 14.214 14.214
OGLE-2002-BLG-051 17:56:16.99 -28:59:56.8 2452383.864 None None 17.790 17.790
OGLE-2002-BLG-052 18:13:53.28 -28:28:06.9 2452366.631 13.35 0.071 19.016 19.016
OGLE-2002-BLG-053 18:05:38.69 -27:44:39.4 2452387.095 50.53 0.722 18.404 18.404
OGLE-2002-BLG-054 18:07:14.93 -27:35:42.3 2452381.146 38.38 0.116 19.171 19.171
OGLE-2002-BLG-055 17:59:40.93 -27:07:18.2 2452406.323 55.04 0.457 16.748 16.748
OGLE-2002-BLG-056 17:59:56.15 -27:21:05.9 2452383.529 20.57 0.022 19.660 19.660
OGLE-2002-BLG-057 18:11:22.13 -25:50:49.9 2452349.609 84.05 0.000 18.700 20.669
OGLE-2002-BLG-058 18:13:58.12 -25:48:51.7 2452323.120 57.19 0.370 18.882 18.882
OGLE-2002-BLG-059 18:19:21.09 -25:52:14.7 2452316.015 62.90 0.356 19.393 19.393
OGLE-2002-BLG-060 18:11:36.42 -25:24:06.1 2452368.514 14.75 0.260 18.696 18.696
OGLE-2002-BLG-061 17:35:55.97 -27:16:01.8 2452508.126 185.4 0.177 17.360 17.599
OGLE-2002-BLG-062 17:35:52.98 -27:14:59.8 2452361.261 15.06 1.048 17.564 17.564
OGLE-2002-BLG-063 17:42:30.12 -25:09:33.8 2452359.658 13.56 0.532 18.758 18.758
OGLE-2002-BLG-064 17:42:48.56 -22:45:56.0 2452384.830 44.78 1.256 15.801 15.801
OGLE-2002-BLG-065 17:46:35.35 -22:49:18.9 2452369.405 59.96 0.133 19.014 20.051
OGLE-2002-BLG-066 17:49:20.39 -22:51:32.6 2452362.861 22.70 0.173 19.651 19.651
OGLE-2002-BLG-067 17:46:22.60 -23:37:19.5 2452380.545 34.59 0.075 18.634 19.196
OGLE-2002-BLG-068 17:41:57.17 -24:09:45.7 2452992.983 None None 18.254 18.254
OGLE-2002-BLG-069 17:48:01.00 -21:16:09.3 2452457.698 102.7 0.045 16.152 16.277
OGLE-2002-BLG-070 17:50:20.15 -29:53:33.6 2452387.644 5.142 0.000 15.853 16.124
OGLE-2002-BLG-071 17:56:54.10 -29:42:37.8 2452390.735 7.744 0.300 18.805 18.805
OGLE-2002-BLG-072 17:55:03.80 -29:28:02.8 2452391.075 18.10 0.192 19.950 19.950
OGLE-2002-BLG-073 17:48:44.03 -33:44:36.8 2452389.162 2.796 0.727 18.261 18.261
OGLE-2002-BLG-074 17:56:53.92 -33:54:15.6 2452390.404 11.15 0.420 19.548 19.548
OGLE-2002-BLG-075 17:50:42.26 -32:50:06.0 2452395.367 21.92 0.524 19.069 19.069
OGLE-2002-BLG-076 17:55:44.31 -28:43:40.3 2452385.182 14.32 0.340 18.537 18.537
OGLE-2002-BLG-077 18:08:50.26 -26:10:56.7 2452863.814 None None 17.308 17.308
OGLE-2002-BLG-078 18:16:48.41 -24:31:07.8 2452376.679 4.078 0.837 18.386 18.386
OGLE-2002-BLG-079 17:47:17.26 -22:32:25.0 2452393.764 37.14 0.346 19.594 19.594
OGLE-2002-BLG-080 17:44:21.34 -21:29:15.8 2452536.318 46.41 0.275 13.968 13.968
OGLE-2002-BLG-081 17:43:00.39 -21:22:28.0 2452487.247 4.133 0.350 17.352 17.352
OGLE-2002-BLG-082 17:55:52.33 -30:11:59.1 2452410.253 52.39 0.700 18.974 18.974
OGLE-2002-BLG-083 17:46:32.04 -34:35:28.2 2452396.502 16.54 0.179 18.816 18.816
OGLE-2002-BLG-084 17:57:58.08 -34:22:25.5 2452392.655 15.85 0.853 18.396 18.396
OGLE-2002-BLG-085 18:04:00.52 -33:44:56.3 2452417.868 17.10 1.007 15.097 15.097
OGLE-2002-BLG-086 17:57:13.61 -31:07:29.5 2452390.203 9.208 0.718 18.862 18.862
OGLE-2002-BLG-087 18:01:21.30 -31:16:40.9 2452392.588 23.42 0.647 19.282 19.282
OGLE-2002-BLG-088 17:54:42.56 -29:18:58.9 2452387.494 17.14 0.033 19.204 19.204
OGLE-2002-BLG-089 18:13:40.47 -29:15:42.4 2452416.141 47.78 0.803 18.941 18.941
OGLE-2002-BLG-090 18:15:37.30 -29:29:05.1 2452388.353 None None 20.368 20.368
OGLE-2002-BLG-091 18:09:50.20 -26:05:42.6 2452396.281 12.28 0.646 18.508 18.508
OGLE-2002-BLG-092 18:07:24.09 -26:05:30.6 2452399.653 17.47 0.700 17.253 17.253
OGLE-2002-BLG-093 18:09:50.20 -26:05:42.7 2452396.079 12.75 0.662 18.556 18.556
OGLE-2002-BLG-094 17:58:32.79 -29:23:50.7 2452402.297 6.937 0.140 14.080 14.080
OGLE-2002-BLG-095 17:56:27.78 -30:01:08.5 2452401.149 6.499 0.166 18.125 18.125
