Name RA Dec t0[HJD] tE[days] u0 Ibase Ibase_err
Gaia22bmp 14:47:02.6592 -63:34:46.668 None None None 15.72 None
Gaia22bmb 14:59:48.0912 -74:04:12.468 None None None 15.17 None
Gaia22blw 15:48:21.3504 -61:21:10.224 None None None 18.29 None
Gaia22bkt 16:47:49.2144 -48:28:08.328 None None None 17.06 None
Gaia22bkr 16:40:54.6096 -49:55:59.592 None None None 18.50 None
Gaia22bkb 04:49:16.1352 +46:19:19.02 None None None 14.22 None
Gaia22bjw 16:50:50.9208 -39:02:03.84 None None None 17.12 None
Gaia22biy 05:41:13.656 +44:46:02.064 None None None 14.27 None
Gaia22bhv 17:54:12.828 -30:12:52.848 None None None 10.77 None
Gaia22bhh 18:01:48.3936 -28:04:36.804 None None None 17.92 None
Gaia22bhe 18:08:29.7696 -30:10:51.78 None None None 17.06 None
Gaia22bhc 18:10:54.8808 -28:24:43.092 None None None 15.13 None
Gaia22bhb 17:57:25.8216 -28:15:18.54 None None None 9.93 None
Gaia22bgo 17:55:49.7736 -22:00:14.472 None None None 19.14 None
Gaia22bgb 18:16:20.3736 -20:42:25.308 None None None 12.20 None
Gaia22bfy 18:04:55.2672 -16:29:36.528 None None None 16.46 None
Gaia22bdg 19:10:58.5144 +05:25:42.456 None None None 15.64 None
Gaia22bdd 06:55:06.7248 -13:59:28.464 None None None 13.04 None
Gaia22ayu 09:10:21.4728 -58:09:18.468 None None None 18.42 None
Gaia22ayl 20:45:18.8472 +38:30:02.52 None None None 12.90 None
Gaia22ayd 09:53:03.924 -57:48:49.824 None None None 16.08 None
Gaia22axd 01:09:58.9488 +67:07:47.928 None None None 15.13 None
Gaia22awp 01:56:41.8584 +62:28:06.852 None None None 14.60 None
Gaia22awm 06:10:31.944 +34:51:50.4 None None None 11.20 None
Gaia22awj 18:01:16.6488 -33:39:39.132 None None None 18.76 None
Gaia22awc 17:40:57.7296 -35:55:12.972 None None None 16.29 None
Gaia22avs 15:26:24.0672 -56:43:28.524 None None None 17.86 None
Gaia22avq 18:11:30.144 -25:03:11.196 None None None 19.69 None
Gaia22avg 16:35:11.856 -44:52:34.32 None None None 16.20 None
Gaia22ave 17:52:45.4368 -28:09:18.252 None None None 15.11 None
Gaia22ava 18:00:30.5496 -27:37:50.628 None None None 15.71 None
Gaia22aux 18:29:08.7864 -16:36:12.312 None None None 10.35 None
Gaia22auw 06:24:26.0928 +18:32:03.048 None None None 11.88 None
Gaia22aur 18:38:32.6904 -11:45:07.308 None None None 17.28 None
Gaia22aup 18:55:57.0432 -05:49:14.844 None None None 16.88 None
Gaia22aug 18:42:43.6944 -10:00:27.36 None None None 11.33 None
Gaia22atx 18:37:58.9272 -07:23:54.204 None None None 18.21 None
Gaia22ats 18:39:04.4496 -06:23:12.984 None None None 17.91 None
Gaia22atp 18:42:20.1912 +02:45:26.964 None None None 18.14 None
Gaia22atg 16:42:40.9776 -23:37:33.528 None None None 17.69 None
Gaia22atd 19:11:04.5 +10:36:32.472 None None None 15.25 None
Gaia22asv 07:28:58.452 -16:15:42.804 None None None 15.69 None
Gaia22ash 08:04:35.6736 -25:04:27.732 None None None 12.31 None
Gaia22and 21:04:29.3136 +46:54:12.852 None None None 18.16 None
Gaia22amy 08:19:26.4552 -51:32:16.62 None None None 15.82 None
Gaia22amv 08:55:06.1896 -48:05:56.076 None None None 15.94 None
